"TARGET_FLAG","TARGET_AMT","KIDSDRIV","MALE","MARRIED","SINGLE_PARENT","LICENSE_REVOKED","AGE","AGE_RANGE_16_19_YRS","AGE_RANGE_20_29_YRS","AGE_RANGE_30_39_YRS","AGE_RANGE_40_49_YRS","AGE_RANGE_50_59_YRS","AGE_RANGE_60_69_YRS","AGE_RANGE_70_YRS_PLUS","INEXP_DRIVER","HOMEKIDS","YOJ","INCOME","HOME_VAL","TRAVTIME","BLUEBOOK","TIF","OLDCLAIM","CLM_FREQ","MVR_PTS","CAR_AGE","CAR_AGE_RANGE_1_YR","CAR_AGE_RANGE_2_3_YRS","CAR_AGE_RANGE_3_5_YRS","CAR_AGE_RANGE_5_10_YRS","CAR_AGE_RANGE_10_YRS_PLUS","MAIN_DRIVING_CITY","RED_CAR","EDU_HIGH_SCHOOL","EDU_COLLEGE","EDU_ADV_DEGREE","VEHICLE_USE_COMMERCIAL","VEHICLE_CLASS_TRUCK","VEHICLE_CLASS_SUV","VEHICLE_CLASS_CAR","SPORTS_CAR","RED_SPORTS_CAR","TRUCK_COMM","SUV_COMM","CAR_COMM","OCCUPATION_CLERICAL","OCCUPATION_MANAGER","OCCUPATION_BLUE_COLLAR","OCCUPATION_GOLD_COLLAR","OCCUPATION_STUDENT","OCCUPATION_HOME_MAKER","OCCUPATION_PROFESSIONAL"
NA,NA,0,1,0,0,0,48,0,0,0,1,0,0,0,0,0,11,52881,0,26,21970,1,0,0,2,10,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
NA,NA,1,1,0,1,0,40,0,0,0,1,0,0,0,0,1,11,50815,0,21,18930,6,3295,1,2,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
NA,NA,0,0,0,1,0,44,0,0,0,1,0,0,0,0,2,12,43486,0,30,5900,10,0,0,0,10,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
NA,NA,0,1,0,1,1,35,0,0,1,0,0,0,0,0,2,NA,21204,0,74,9230,6,0,0,0,4,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
NA,NA,0,1,0,0,0,59,0,0,0,0,1,0,0,0,0,12,87460,0,45,15420,1,44857,2,4,1,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
NA,NA,0,1,1,0,0,46,0,0,0,1,0,0,0,0,0,14,NA,207519,7,25660,1,2119,1,2,12,0,0,0,0,1,1,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
NA,NA,0,0,1,0,0,60,0,0,0,0,0,1,0,0,0,12,37940,182739,16,11290,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0
NA,NA,0,1,1,0,0,54,0,0,0,0,1,0,0,0,0,12,33212,158432,27,24000,4,0,0,5,NA,NA,NA,NA,NA,NA,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
NA,NA,2,0,0,1,0,36,0,0,1,0,0,0,0,0,2,12,130540,344195,5,27200,4,0,0,0,9,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
NA,NA,0,0,0,0,0,50,0,0,0,0,1,0,0,0,0,8,167469,0,22,34150,4,0,0,3,1,1,0,0,0,0,1,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0
NA,NA,0,1,1,0,0,42,0,0,0,1,0,0,0,0,0,NA,52988,176275,24,23450,1,0,0,2,11,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
NA,NA,0,0,0,1,1,41,0,0,0,1,0,0,0,0,2,7,17755,148815,29,14480,1,0,0,2,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
NA,NA,1,0,0,1,0,37,0,0,1,0,0,0,0,0,2,13,NA,0,62,9360,4,0,0,0,NA,NA,NA,NA,NA,NA,1,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0
NA,NA,0,1,1,0,0,36,0,0,1,0,0,0,0,0,3,12,56048,137836,15,10700,6,2045,2,2,16,0,0,0,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
NA,NA,0,1,1,0,1,34,0,0,1,0,0,0,0,0,3,12,22510,123888,26,14690,4,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
NA,NA,0,0,0,1,0,35,0,0,1,0,0,0,0,0,2,12,NA,0,43,9730,5,0,0,4,4,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
NA,NA,2,0,1,0,0,44,0,0,0,1,0,0,0,0,2,14,45576,156623,27,1500,4,25276,1,8,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0
NA,NA,0,1,1,0,0,48,0,0,0,1,0,0,0,0,0,9,61509,195438,40,23230,6,0,0,1,17,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
NA,NA,0,0,1,0,1,62,0,0,0,0,0,1,0,0,0,15,40656,208242,57,9170,4,42342,2,2,7,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
NA,NA,0,0,0,0,0,39,0,0,1,0,0,0,0,0,0,11,33727,0,27,10850,1,8350,1,2,12,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
NA,NA,0,1,1,0,0,38,0,0,1,0,0,0,0,0,0,0,0,0,41,17470,10,3157,2,5,6,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
NA,NA,0,0,1,0,0,39,0,0,1,0,0,0,0,0,2,0,0,69369,36,8750,4,0,0,0,8,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
NA,NA,2,1,1,0,0,44,0,0,0,1,0,0,0,0,2,13,142588,365256,28,21790,6,0,0,2,9,0,0,0,1,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
NA,NA,0,0,0,0,0,45,0,0,0,1,0,0,0,0,0,12,32394,0,33,13770,4,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
NA,NA,0,0,1,0,0,43,0,0,0,1,0,0,0,0,1,0,0,70170,26,8350,1,0,0,3,7,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
NA,NA,0,1,1,0,0,64,0,0,0,0,0,1,0,0,0,15,31738,197010,23,14620,6,3994,2,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
NA,NA,0,1,0,0,0,60,0,0,0,0,0,1,0,0,0,9,125893,0,21,7500,9,7278,2,4,15,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
NA,NA,2,0,0,1,0,35,0,0,1,0,0,0,0,0,4,6,154577,397868,27,20450,6,4645,1,3,1,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
NA,NA,0,0,1,0,0,52,0,0,0,0,1,0,0,0,0,11,79348,270032,23,13150,11,0,0,2,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
NA,NA,0,1,1,0,0,56,0,0,0,0,1,0,0,0,2,14,192089,471701,31,21100,1,0,0,0,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
NA,NA,0,0,1,0,1,55,0,0,0,0,1,0,0,0,0,15,108152,329756,18,12320,1,0,0,0,15,0,0,0,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
NA,NA,0,1,0,0,0,26,0,1,0,0,0,0,0,0,0,8,53244,0,28,20920,3,6224,1,1,8,0,0,0,1,0,1,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
NA,NA,0,1,1,0,0,52,0,0,0,0,1,0,0,0,0,8,88560,244028,14,13630,1,0,0,4,17,0,0,0,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
NA,NA,0,1,1,0,0,41,0,0,0,1,0,0,0,0,0,12,110386,335488,21,16640,1,0,0,2,14,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
NA,NA,0,0,0,0,0,49,0,0,0,1,0,0,0,0,0,12,53765,0,5,12360,4,0,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
NA,NA,0,0,1,0,0,30,0,0,1,0,0,0,0,0,2,NA,26226,165178,68,23610,4,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
NA,NA,1,0,1,0,0,34,0,0,1,0,0,0,0,0,3,12,29431,143149,12,22560,1,0,0,1,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
NA,NA,0,0,1,0,0,44,0,0,0,1,0,0,0,0,0,14,44790,205463,5,19800,4,37163,1,4,9,0,0,0,1,0,1,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
NA,NA,0,1,1,0,0,49,0,0,0,1,0,0,0,0,0,NA,38326,133010,5,10230,4,0,0,0,17,0,0,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
NA,NA,1,0,1,0,0,40,0,0,0,1,0,0,0,0,2,12,35260,141167,30,9740,7,2235,1,8,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
NA,NA,0,1,1,0,0,26,0,1,0,0,0,0,0,0,3,9,33283,104323,37,7690,10,0,0,2,16,0,0,0,0,1,1,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
NA,NA,0,0,1,0,1,46,0,0,0,1,0,0,0,0,0,7,26697,134863,43,15080,6,0,0,4,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
NA,NA,0,1,0,0,0,50,0,0,0,0,1,0,0,0,0,7,73308,240645,38,18720,7,0,0,2,19,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
NA,NA,0,0,0,0,0,62,0,0,0,0,0,1,0,0,0,12,22181,185459,24,17880,7,9873,3,5,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
