"INDEX","TARGET_FLAG","TARGET_AMT","KIDSDRIV","MALE","MARRIED","SINGLE_PARENT","LICENSE_REVOKED","AGE","AGE_RANGE_16_19_YRS","AGE_RANGE_20_29_YRS","AGE_RANGE_30_39_YRS","AGE_RANGE_40_49_YRS","AGE_RANGE_50_59_YRS","AGE_RANGE_60_69_YRS","AGE_RANGE_70_YRS_PLUS","INEXP_DRIVER","HOMEKIDS","YOJ","INCOME","HOME_VAL","TRAVTIME","BLUEBOOK","TIF","OLDCLAIM","CLM_FREQ","MVR_PTS","CAR_AGE","CAR_AGE_RANGE_1_YR","CAR_AGE_RANGE_2_3_YRS","CAR_AGE_RANGE_3_5_YRS","CAR_AGE_RANGE_5_10_YRS","CAR_AGE_RANGE_10_YRS_PLUS","MAIN_DRIVING_CITY","RED_CAR","EDU_HIGH_SCHOOL","EDU_COLLEGE","EDU_ADV_DEGREE","VEHICLE_USE_COMMERCIAL","VEHICLE_CLASS_TRUCK","VEHICLE_CLASS_SUV","VEHICLE_CLASS_CAR","SPORTS_CAR","RED_SPORTS_CAR","TRUCK_COMM","SUV_COMM","CAR_COMM","OCCUPATION_CLERICAL","OCCUPATION_MANAGER","OCCUPATION_BLUE_COLLAR","OCCUPATION_GOLD_COLLAR","OCCUPATION_STUDENT","OCCUPATION_HOME_MAKER","OCCUPATION_PROFESSIONAL"
1,0,0,0,1,0,0,0,60,0,0,0,0,0,1,0,0,0,11,67349,0,14,14230,11,4461,2,3,18,0,0,0,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0,0,0,1,0,0,0,43,0,0,0,1,0,0,0,0,0,11,91449,257252,22,14940,1,0,0,0,1,1,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
4,0,0,0,0,1,0,0,35,0,0,1,0,0,0,0,0,1,10,16039,124191,5,4010,4,38690,2,3,10,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
5,0,0,0,1,1,0,0,51,0,0,0,0,1,0,0,0,0,14,94973,306251,32,15440,7,0,0,0,6,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
6,0,0,0,0,1,0,1,50,0,0,0,0,1,0,0,0,0,13,114986,243925,36,18000,1,19217,2,3,17,0,0,0,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
7,1,2946,0,0,0,1,0,34,0,0,1,0,0,0,0,0,1,12,125301,0,46,17430,1,0,0,0,7,0,0,0,1,0,1,0,1,1,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0
8,0,0,0,0,1,0,0,54,0,0,0,0,1,0,0,0,0,16,18755,139978,33,8780,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
11,1,4021,1,1,1,0,1,37,0,0,1,0,0,0,0,0,2,14,107961,333680,44,16970,1,2374,1,10,7,0,0,0,1,0,1,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
12,1,2501,0,0,0,0,0,34,0,0,1,0,0,0,0,0,0,10,62978,0,34,11200,1,0,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
13,0,0,0,1,0,0,0,50,0,0,0,0,1,0,0,0,0,7,106952,0,48,18510,7,0,0,1,17,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
