"TARGET_AMT","KIDSDRIV","MALE","MARRIED","SINGLE_PARENT","LICENSE_REVOKED","AGE","AGE_RANGE_16_19_YRS","AGE_RANGE_20_29_YRS","AGE_RANGE_30_39_YRS","AGE_RANGE_40_49_YRS","AGE_RANGE_50_59_YRS","AGE_RANGE_60_69_YRS","AGE_RANGE_70_YRS_PLUS","INEXP_DRIVER","HOMEKIDS","YOJ","INCOME","HOME_VAL","TRAVTIME","BLUEBOOK","TIF","OLDCLAIM","CLM_FREQ","MVR_PTS","CAR_AGE","CAR_AGE_RANGE_1_YR","CAR_AGE_RANGE_2_3_YRS","CAR_AGE_RANGE_3_5_YRS","CAR_AGE_RANGE_5_10_YRS","CAR_AGE_RANGE_10_YRS_PLUS","MAIN_DRIVING_CITY","RED_CAR","EDU_HIGH_SCHOOL","EDU_COLLEGE","EDU_ADV_DEGREE","VEHICLE_USE_COMMERCIAL","VEHICLE_CLASS_TRUCK","VEHICLE_CLASS_SUV","VEHICLE_CLASS_CAR","SPORTS_CAR","RED_SPORTS_CAR","TRUCK_COMM","SUV_COMM","CAR_COMM","OCCUPATION_CLERICAL","OCCUPATION_MANAGER","OCCUPATION_BLUE_COLLAR","OCCUPATION_GOLD_COLLAR","OCCUPATION_STUDENT","OCCUPATION_HOME_MAKER","OCCUPATION_PROFESSIONAL"
-Inf,-Inf,0,-Inf,-Inf,-Inf,4.0943445622221,-Inf,-Inf,-Inf,-Inf,-Inf,0,-Inf,-Inf,-Inf,2.39789527279837,11.1176433339183,-Inf,2.63905732961526,9.5631076910839,2.39789527279837,8.40312823512826,0.693147180559945,1.09861228866811,2.89037175789616,-Inf,-Inf,-Inf,-Inf,0,0,0,0,0,0,-Inf,-Inf,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,0
-Inf,-Inf,0,-Inf,-Inf,-Inf,3.76120011569356,-Inf,-Inf,-Inf,0,-Inf,-Inf,-Inf,-Inf,-Inf,2.39789527279837,11.4235367188221,12.4578114282045,3.09104245335832,9.61179745868681,0,-Inf,-Inf,-Inf,0,0,-Inf,-Inf,-Inf,-Inf,0,0,0,-Inf,-Inf,0,-Inf,0,-Inf,-Inf,-Inf,-Inf,0,-Inf,-Inf,-Inf,0,-Inf,-Inf,-Inf,-Inf
-Inf,-Inf,-Inf,0,-Inf,-Inf,3.55534806148941,-Inf,-Inf,0,-Inf,-Inf,-Inf,-Inf,-Inf,0,2.30258509299405,9.68277853533738,11.7295759820878,1.6094379124341,8.29654652030061,1.38629436111989,10.5633364476946,0.693147180559945,1.09861228866811,2.30258509299405,-Inf,-Inf,-Inf,-Inf,0,0,-Inf,0,-Inf,-Inf,-Inf,-Inf,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
-Inf,-Inf,0,0,-Inf,-Inf,3.93182563272433,-Inf,-Inf,-Inf,-Inf,0,-Inf,-Inf,-Inf,-Inf,2.63905732961526,11.5674136502543,12.6321603061419,3.46573590279973,9.64471682357877,1.94591014905531,-Inf,-Inf,-Inf,1.79175946922805,-Inf,-Inf,-Inf,0,-Inf,0,0,-Inf,-Inf,-Inf,-Inf,-Inf,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,0,-Inf,-Inf,-Inf,-Inf
-Inf,-Inf,-Inf,0,-Inf,0,3.91202300542815,-Inf,-Inf,-Inf,-Inf,0,-Inf,-Inf,-Inf,-Inf,1.94591014905531,11.6525656608041,12.4046160799762,3.58351893845611,9.7981270368783,0,9.86355058293243,0.693147180559945,1.09861228866811,2.83321334405622,-Inf,-Inf,-Inf,-Inf,0,0,-Inf,0,0,0,-Inf,-Inf,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,0,-Inf,-Inf,-Inf
7.98820359702258,-Inf,-Inf,-Inf,0,-Inf,3.52636052461616,-Inf,-Inf,0,-Inf,-Inf,-Inf,-Inf,-Inf,0,2.484906649788,11.7384741216983,-Inf,3.8286413964891,9.76594813851407,0,-Inf,-Inf,-Inf,1.94591014905531,-Inf,-Inf,-Inf,0,-Inf,0,-Inf,0,0,-Inf,0,-Inf,-Inf,0,0,-Inf,-Inf,-Inf,0,-Inf,-Inf,0,-Inf,-Inf,-Inf,-Inf
-Inf,-Inf,-Inf,0,-Inf,-Inf,3.98898404656427,-Inf,-Inf,-Inf,-Inf,0,-Inf,-Inf,-Inf,-Inf,2.63905732961526,9.83921566251599,11.8573304397739,3.49650756146648,9.08023168662916,0,-Inf,-Inf,-Inf,0,0,-Inf,-Inf,-Inf,-Inf,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,0,-Inf,-Inf,-Inf,-Inf
8.29928590689727,0,0,0,-Inf,0,3.61091791264422,-Inf,-Inf,0,-Inf,-Inf,-Inf,-Inf,-Inf,0.693147180559945,2.63905732961526,11.5895253297789,12.7179377288708,3.78418963391826,9.73920235822827,0,7.77233157516961,0,2.30258509299405,1.94591014905531,-Inf,-Inf,-Inf,0,-Inf,0,0,0,0,-Inf,0,0,-Inf,-Inf,-Inf,-Inf,0,-Inf,-Inf,-Inf,-Inf,0,-Inf,-Inf,-Inf,-Inf
7.82444593087762,-Inf,-Inf,-Inf,-Inf,-Inf,3.52636052461616,-Inf,-Inf,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,2.30258509299405,11.0505407380377,-Inf,3.52636052461616,9.32366905728319,0,-Inf,-Inf,-Inf,0,0,-Inf,-Inf,-Inf,-Inf,0,-Inf,0,0,-Inf,-Inf,-Inf,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
-Inf,-Inf,0,-Inf,-Inf,-Inf,3.91202300542815,-Inf,-Inf,-Inf,-Inf,0,-Inf,-Inf,-Inf,-Inf,1.94591014905531,11.580135414663,-Inf,3.87120101090789,9.82606640556754,1.94591014905531,-Inf,-Inf,0,2.83321334405622,-Inf,-Inf,-Inf,-Inf,0,-Inf,-Inf,0,0,-Inf,0,0,-Inf,-Inf,-Inf,-Inf,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,0
8.71226643213535,-Inf,-Inf,-Inf,-Inf,-Inf,3.97029191355212,-Inf,-Inf,-Inf,-Inf,0,-Inf,-Inf,-Inf,-Inf,2.63905732961526,11.2528585595514,-Inf,2.70805020110221,9.81465633882951,0,-Inf,-Inf,-Inf,2.39789527279837,-Inf,-Inf,-Inf,-Inf,0,0,-Inf,0,0,0,-Inf,-Inf,-Inf,0,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,0,-Inf,-Inf,-Inf
-Inf,-Inf,-Inf,0,-Inf,-Inf,3.76120011569356,-Inf,-Inf,-Inf,0,-Inf,-Inf,-Inf,-Inf,-Inf,1.6094379124341,10.8712695591984,12.2547199423517,3.58351893845611,10.0177086966262,1.94591014905531,-Inf,-Inf,-Inf,0,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,0,0,0,-Inf,-Inf,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,0
-Inf,-Inf,0,0,-Inf,0,4.00733318523247,-Inf,-Inf,-Inf,-Inf,0,-Inf,-Inf,-Inf,-Inf,2.39789527279837,10.9880347228794,12.102000188857,3.2188758248682,9.77565418102624,1.94591014905531,8.52277756971014,0.693147180559945,1.09861228866811,2.19722457733622,-Inf,-Inf,-Inf,0,-Inf,0,0,0,0,-Inf,0,0,-Inf,-Inf,-Inf,-Inf,0,-Inf,-Inf,-Inf,0,-Inf,-Inf,-Inf,-Inf,-Inf
7.14440718032114,-Inf,0,-Inf,-Inf,-Inf,3.97029191355212,-Inf,-Inf,-Inf,-Inf,0,-Inf,-Inf,-Inf,-Inf,2.39789527279837,11.7813864909749,-Inf,4.15888308335967,10.2520295132447,1.79175946922805,-Inf,-Inf,1.09861228866811,2.30258509299405,-Inf,-Inf,-Inf,-Inf,0,0,0,0,0,0,0,0,-Inf,-Inf,-Inf,-Inf,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
7.97939619499053,-Inf,-Inf,0,-Inf,-Inf,3.80666248977032,-Inf,-Inf,-Inf,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,11.5792654874294,3.87120101090789,8.69951474821019,0,-Inf,-Inf,1.09861228866811,1.6094379124341,-Inf,-Inf,-Inf,0,-Inf,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,0,-Inf
-Inf,-Inf,-Inf,-Inf,0,-Inf,3.66356164612965,-Inf,-Inf,0,-Inf,-Inf,-Inf,-Inf,-Inf,1.09861228866811,2.484906649788,10.8567657364606,12.1059815553651,3.76120011569356,9.26766543859545,1.79175946922805,-Inf,-Inf,-Inf,2.56494935746154,-Inf,-Inf,-Inf,-Inf,0,-Inf,-Inf,0,0,-Inf,-Inf,-Inf,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
-Inf,-Inf,0,0,-Inf,-Inf,3.73766961828337,-Inf,-Inf,-Inf,0,-Inf,-Inf,-Inf,-Inf,-Inf,2.39789527279837,11.0011827541418,12.1663281952505,3.73766961828337,9.56029277015409,1.79175946922805,-Inf,-Inf,-Inf,2.77258872223978,-Inf,-Inf,-Inf,-Inf,0,0,-Inf,0,0,0,-Inf,-Inf,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,0,-Inf,-Inf,-Inf
-Inf,-Inf,-Inf,0,-Inf,-Inf,3.52636052461616,-Inf,-Inf,0,-Inf,-Inf,-Inf,-Inf,-Inf,1.09861228866811,2.56494935746154,10.434674471044,11.4281842365151,3.29583686600433,9.02401079378469,1.94591014905531,-Inf,-Inf,-Inf,2.99573227355399,-Inf,-Inf,-Inf,-Inf,0,0,-Inf,0,0,0,-Inf,-Inf,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,0,-Inf,-Inf,-Inf
-Inf,-Inf,-Inf,0,-Inf,-Inf,3.43398720448515,-Inf,-Inf,0,-Inf,-Inf,-Inf,-Inf,-Inf,0.693147180559945,2.484906649788,9.84707591861017,11.4488881515404,3.87120101090789,9.76019438270965,1.38629436111989,-Inf,-Inf,-Inf,1.94591014905531,-Inf,-Inf,-Inf,0,-Inf,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
